ARTIST,TITLE,FORMAT,PRICE,GENRE,CAT NUMBER,COUNTRY,SLEEVE,MEDIA,LABEL,EXTRA INFO,SKU
100%,YOU ARE 100%,1LP, $	10.00 ,ALTERNATIVE,MWN045,AUS,NEW,NEW,Moontown Records,"2016 4-TRACK 12"" FROM BRIS SYNTH-DARKWAVE TRIO",VY7560
999,IN CASE OF EMERGENCY,1LP, $	20.00 ,PUNK,DOJOLP31,UK,VG+,VG+,Dojo Records,1986 UK IMPORT COMPILATION LP ON DOJO RECORDS,VS18414
10CC,DECEPTIVE BENDS,1LP, $	15.00 ,ROCK,6310502,AUS,VG+,EX,Mercury Records,OZ MERCURY RECORDS GATEFOLD PRESS OF THE 1977 ALBUM w/ PRINTED INNER,VS2006
10CC,THE ORIGINAL SOUNDTRACK: REISSUE,1LP, $	25.00 ,ROCK,5312958,EU,NEW,NEW,Mercury Records,2010 EU 180-GRAM GATEFOLD VINYL REMASTER OF THE 1975/3rd ALBUM,VY16163
"1975, THE",I LIKE IT WHEN YOU SLEEP...,2LP, $	60.00 ,ALTERNATIVE,DH00118,EU,NEW,NEW,Dirty Hit Ltd,2016 & 2nd STUDIO ALBUM: 180-GRAM 2xLP CLEAR VINYL EU PRESSING,VZ2156
"1975, THE",THE 1975,2LP, $	65.00 ,ALTERNATIVE,DH01124,AUS,NEW,NEW,Dirty Hit Ltd,DIRTY HIT RECORDS AUSTRALIAN-EXCLUSIVE 2xLP WHITE VINYL RE-PRESS OF THE 2013 DEBUT,VZ5973
"1975, THE",A BRIEF INQUIRY INTO ONLINE RELATIONSHIP,2LP, $	65.00 ,ALTERNATIVE,DH01129,AUS,NEW,NEW,Dirty Hit Ltd,DIRTY HIT RECORDS AUSTRALIAN-EXCLUSIVE 2xLP RED VINYL RE-PRESS OF THE 2018 ALBUM,VZ5974
"1975, THE",NOTES ON A CONDITIONAL FORM,2LP, $	65.00 ,ALTERNATIVE,DH01131,AUS,NEW,NEW,Dirty Hit Ltd,AUSTRALIAN EXCLUSIVE REPRESS OF THE 2020 ALBUM: LIMITED CLEAR VINYL PRESS,VZ5975
"1975, THE",I LIKE IT WHEN YOU SLEEP...,2LP, $	65.00 ,ALTERNATIVE,DH01127,AUS,NEW,NEW,Dirty Hit Ltd,DIRTY HIT RECORDS AUSTRALIAN-EXCLUSIVE 2xLP PINK VINYL RE-PRESS OF THE 2016 ALBUM,VZ6018
2PAC,STRICTLY 4 MY N.I.G.G.A.Z...: REISSUE,2LP, $	65.00 ,HIP HOP,2795018,EU,NEW,NEW,Interscope Records,2018/25th ANNIVERSARY REPRESS OF HIS 2nd ALBUM FROM 1993,VZ3556
2PAC,ME AGAINST THE WORLD: REISSUE,2LP, $	60.00 ,HIP HOP,844889,EU,NEW,NEW,Interscope Records,2020 25th ANNIVERSARY 180-GRAM 2LP REPRESS OF THE 1995 STUDIO RELEASE,VZ6212
2PAC,THE BEST OF 2PAC: PART 2: LIFE,2LP, $	60.00 ,HIP HOP,3521740,EU,NEW,NEW,Interscope Records,2021 1st TIME VINYL PRESS OF THE 2007 TWO PART BEST OF SETS: BLACK VINYL 2LP EU PRESS,VZ6215
"4"" BE 2""",ONE OF THE LADS,"7""", $	10.00 ,PUNK,WIP6530,UK,VG+,VG+,Island Records,1979 DEBUT SINGLE PRODUCED BY JOHNNY ROTTEN: ORIG. UK PICTURE SLEEVE,V83067
7 SECONDS,MY AIM IS YOU / SLOGAN ON A SHIRT,"7""", $	10.00 ,PUNK,RISE219,,NEW,NEW,Raven Marching Band Records,2013 RELEASE ON RISE RECORDS,V71306
A DEAD FOREST INDEX,ANTIQUE,"10""", $	10.00 ,ALTERNATIVE,OSCL003,AUS,EX,EX,OSCL Records,"10"" VINYL ISSUE OF THE 2012 EP FROM MELB GROUP",VF171
A LOOSE CONFEDERATION OF SATURDAY CITY-S,PLAGIARISM / HOW CAN I FACE TOMORROW,"7""", $	30.00 ,ALTERNATIVE,SRR250757,USA,VG+,VG+,Slow River Records,"ULTRA RARE ONE-TIME 1995 COLLAB. FROM VIC CHESTNUTT, SPARKLEHORSE & MORE",V83635
A PERFECT CIRCLE,THIRTEENTH STEP: REISSUE,2LP, $	60.00 ,ALTERNATIVE,MOVLP1114,EU,NEW,NEW,Music On Vinyl,2014 EU 180-GRAM AUDIOPHILE 2LP REPRESS OF THE CRITICALLY ACCLAIMED 2nd ALBUM FROM 2003,VZ5854
