ARTIST,TITLE,FORMAT, PRICE,GENRE,CAT NUMBER,COUNTRY,SLEEVE,MEDIA,LABEL,EXTRA INFO,SKU
100%,YOU ARE 100%,1LP, $ 10.00 ,ALTERNATIVE,MWN045,AUS,NEW,NEW,Moontown Records,"2016 4-TRACK 12"" FROM BRIS SYNTH-DARKWAVE TRIO",VY7560
999,IN CASE OF EMERGENCY,1LP, $ 20.00 ,PUNK,DOJOLP31,UK,VG+,VG+,Dojo Records,1986 UK IMPORT COMPILATION LP ON DOJO RECORDS,VS18414
10CC,BLOODY TOURISTS,1LP, $ 10.00 ,ROCK,6310504,AUS,VG,VG,Mercury Records,"OZ GATEFOLD PRESS OF THE 1978 STUDIO LP FEAT. ""DREADLOCK HOLIDAY"" w/ PRINTED INNER",VS323
10CC,DECEPTIVE BENDS,1LP, $ 15.00 ,ROCK,6310502,AUS,VG+,VG+,Mercury Records,OZ MERCURY RECORDS GATEFOLD PRESS OF THE 1977 ALBUM w/ PRINTED INNER,VS2006
"1975, THE",NOTES ON A CONDITIONAL FORM,2LP, $ 40.00 ,ALTERNATIVE,7765852,EU,EX,VG+,Dirty Hit Ltd,2xLP CLEAR VINYL PRESS OF THE 2020 STUDIO ALBUM,VT3122
"1975, THE",THE 1975,2LP, $ 65.00 ,ALTERNATIVE,DH01124,AUS,NEW,NEW,Dirty Hit Ltd,DIRTY HIT RECORDS AUSTRALIAN-EXCLUSIVE 2xLP WHITE VINYL RE-PRESS OF THE 2013 DEBUT,VZ5973
"1975, THE",A BRIEF INQUIRY INTO ONLINE RELATIONSHIP,2LP, $ 65.00 ,ALTERNATIVE,DH01129,AUS,NEW,NEW,Dirty Hit Ltd,DIRTY HIT RECORDS AUSTRALIAN-EXCLUSIVE 2xLP RED VINYL RE-PRESS OF THE 2018 ALBUM,VZ5974
"1975, THE",NOTES ON A CONDITIONAL FORM,2LP, $ 65.00 ,ALTERNATIVE,DH01131,AUS,NEW,NEW,Dirty Hit Ltd,AUSTRALIAN EXCLUSIVE REPRESS OF THE 2020 ALBUM: LIMITED CLEAR VINYL PRESS,VZ5975
2PAC,STRICTLY 4 MY N.I.G.G.A.Z...: REISSUE,2LP, $ 65.00 ,HIP HOP,2795018,EU,NEW,NEW,Interscope Records,2018/25th ANNIVERSARY REPRESS OF HIS 2nd ALBUM FROM 1993,VZ3556
2PAC,THE BEST OF 2PAC: PART 1: THUG,2LP, $ 62.00 ,HIP HOP,3521734,EU,NEW,NEW,Interscope Records,2021 1st TIME VINYL PRESS OF THE 2007 TWO PART BEST OF SETS: BLACK VINYL 2LP EU PRESS,VZ5853
2PAC,THE BEST OF 2PAC: PART 2: LIFE,2LP, $ 60.00 ,HIP HOP,3521740,EU,NEW,NEW,Interscope Records,2021 1st TIME VINYL PRESS OF THE 2007 TWO PART BEST OF SETS: BLACK VINYL 2LP EU PRESS,VZ6215
"4"" BE 2""",ONE OF THE LADS,"7""", $ 10.00 ,PUNK,WIP6530,UK,VG+,VG+,Island Records,1979 DEBUT SINGLE PRODUCED BY JOHNNY ROTTEN: ORIG. UK PICTURE SLEEVE,V83067
'68,TWO PARTS VIPER,1LP, $ 35.00 ,PUNK,COOKLP672,USA,EX,EX,Cooking Vinyl Records,2017 SOPHOMORE ALBUM FROM EX-THE CHARIOT MEMBERS: U.S. IMPORT BLACK VINYL PRESS,VS21141
'68,IN HUMOR AND SADNESS,1LP, $ 40.00 ,PUNK,EOMLP9436,USA,EX,EX,eOne Music,LIMITED PINK MARBLE PRESS OF THE 2014 DEBUT ALBUM (250 COPIES ONLY) w/ SIGNED FRONT COVER!,VS21142
7 SECONDS,MY AIM IS YOU / SLOGAN ON A SHIRT,"7""", $ 10.00 ,PUNK,RISE219,,NEW,NEW,Raven Marching Band Records,2013 RELEASE ON RISE RECORDS,V71306
A DAY TO REMEMBER,YOU'RE WELCOME: COLOUR,1LP, $ 30.00 ,PUNK,7567865125,USA,EX,EX,Fueled By Ramen,2021 STUDIO RELEASE & 1st ON FUELD BY RAMEN: LIMITED APPLE RED COLOUR PRESS,VS21095
A DAY TO REMEMBER,BAD VIBRATIONS: COLOUR,1LP, $ 50.00 ,PUNK,74791,USA,EX,EX,A Day To Remember Records,2016 STUDIO ALBUM: LIMITED PURPLE & GOLD COLOUR PRESS IN GATEFOLD SLEEVE,VS21096
